RELATÓRIO DE SERVIDORES - 22/01/2026 21:21
====================================================================================================
NOME DO ARQUIVO                                         | SERVIDOR BASE
BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[21-01-2..  | http://protec.sbs:80
BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[22-01-2..  | http://protec.sbs:80
BLACKBR_-__-__TESTE_IPTV_COMPLETO_S_ADULTOS_[20-01-2..  | http://protec.sbs:80
BLACKBR_-__-__TESTE_IPTV_COMPLETO_S_ADULTOS_[22-01-2..  | http://protec.sbs:80
BLAST_PLAY_-_ELITE_-_TESTE_IPTV_COMPLETO_S_ADULTOS_[..  | http://srv3.site:80
BLAST_PLAY_-_ELITE_-__TESTE_IPTV_COMPLETO_C_ADULTOS_..  | http://srv3.site:80
BLAST_PLAY_-_TURBO_-__TESTE_IPTV_COMPLETO_C_ADULTO_[..  | http://npainel.rfcapps.top:80
BLAST_PLAY_-_TURBO_-__TESTE_IPTV_COMPLETO_SADULTO_[2..  | http://npainel.rfcapps.top:80
BLAST_PLAY_-_TV_-__TESTE_IPTV_COMPLETO_C_ADULTOS_[21..  | http://proxyphtop.shop:80
BLAST_PLAY_-_TV_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[20..  | http://proxyphtop.shop:80
CYBER_-_404SRV_-_4H_TESTE_COMPLETO_CADULTO_[19-01-20..  | http://infra10.top:80
CYBER_-_404SRV_-_4H_TESTE_COMPLETO_SADULTO_[19-01-20..  | http://infra10.top:80
CYBER_-_4H_TESTE_COMPLETO_CADULTO_[19-01-2026_18h40]..  | http://rynox.top:80
CYBER_-_4H_TESTE_COMPLETO_SADULTO_[19-01-2026_18h40]..  | http://rynox.top:80
CYBER_-_IMPRIO_-_4H_TESTE_COMPLETO_CADULTO_[19-01-20..  | http://cdn.viadoveio.uk:80
CYBER_-_IMPRIO_-_4H_TESTE_COMPLETO_SADULTO_[19-01-20..  | http://cdn.viadoveio.uk:80
CYBER_-__404SRV__-__4H_TESTE_COMPLETO_CADULTO_[21-01..  | http://infra10.top:80
CYBER_-__404SRV__-__4H_TESTE_COMPLETO_CADULTO_[22-01..  | http://infra10.top:80
CYBER_-__404SRV__-__4H_TESTE_COMPLETO_SADULTO_[21-01..  | http://infra10.top:80
CYBER_-__404SRV__-__4H_TESTE_COMPLETO_SADULTO_[22-01..  | http://infra10.top:80
CYBER_-__4H_TESTE_COMPLETO_CADULTO_[21-01-2026_07h39..  | http://rynox.top:80
CYBER_-__4H_TESTE_COMPLETO_CADULTO_[22-01-2026_20h16..  | http://rynox.top:80
CYBER_-__4H_TESTE_COMPLETO_SADULTO_[21-01-2026_07h39..  | http://rynox.top:80
CYBER_-__4H_TESTE_COMPLETO_SADULTO_[22-01-2026_20h16..  | http://rynox.top:80
CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_CADULTO_[21-01..  | http://cdn.viadoveio.uk:80
CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_CADULTO_[22-01..  | http://cdn.viadoveio.uk:80
CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_SADULTO_[21-01..  | http://cdn.viadoveio.uk:80
CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_SADULTO_[22-01..  | http://cdn.viadoveio.uk:80
