RELATÓRIO DE SERVIDORES IPTV - 19/01/2026 18:51
Baseado apenas nos arquivos da pasta: Listas-Downloaded
====================================================================================================
NOME DO ARQUIVO                                    | SERVIDOR BASE IDENTIFICADO
CineFlix_-__Cine_Z_-_Teste_IPTV_S_Adultos_[19-0..  | http://cloudsalex.space:80
CineFlix_-__Cine_Z_-_Teste_IPTV_S_Adultos_[19-0..  | http://cloudsalex.space:80
CineFlix_-__RYZEN_-_Teste_IPTV_C_Adultos_[19-01..  | http://38.147.106.155:80
CineFlix_-__RYZEN_-_Teste_IPTV_C_Adultos_[19-01..  | http://38.147.106.155:80
CineFlix_-__RYZEN_-_Teste_IPTV_S_Adultos_[19-01..  | http://38.147.106.155:80
CineFlix_-__RYZEN_-_Teste_IPTV_S_Adultos_[19-01..  | http://38.147.106.155:80
CineFlix_-__SH-SERVER_-_Teste_C_Adultos_[19-01-..  | http://sxhs.cgpsx.site:80
CineFlix_-__SH-SERVER_-_Teste_C_Adultos_[19-01-..  | http://sxhs.cgpsx.site:80
CineFlix_-__SH-SERVER_-_Teste_S_Adultos_[19-01-..  | http://sxhs.cgpsx.site:80
CineFlix_-__SH-SERVER_-_Teste_S_Adultos_[19-01-..  | http://sxhs.cgpsx.site:80
CineFlix_-__Thunder_PLAY_-_Teste_C_Adultos_[19-..  | http://xxx.pxlst.site:80
CineFlix_-__Thunder_PLAY_-_Teste_C_Adultos_[19-..  | http://xxx.pxlst.site:80
CineFlix_-__Thunder_PLAY_-_Teste_S_Adultos_[19-..  | http://xxx.pxlst.site:80
CineFlix_-__Thunder_PLAY_-_Teste_S_Adultos_[19-..  | http://xxx.pxlst.site:80
CineFlix_-__VOLTZ_-_Teste_C_Adultos_[19-01-2026..  | http://wpm.dcnn.site:80
CineFlix_-__VOLTZ_-_Teste_C_Adultos_[19-01-2026..  | http://wpm.dcnn.site:80
CineFlix_-__VOLTZ_-_Teste_S_Adultos_[19-01-2026..  | http://wpm.dcnn.site:80
CineFlix_-__VOLTZ_-_Teste_S_Adultos_[19-01-2026..  | http://wpm.dcnn.site:80
CineFlix_-__WAVE_-_Teste_IPTV_C_Adultos_[19-01-..  | http://x25.acxll.shop:80
CineFlix_-__WAVE_-_Teste_IPTV_C_Adultos_[19-01-..  | http://x25.acxll.shop:80
CineFlix_-__WAVE_-_Teste_IPTV_S_Adultos_[19-01-..  | http://x25.acxll.shop:80
CineFlix_-__WAVE_-_Teste_IPTV_S_Adultos_[19-01-..  | http://x25.acxll.shop:80
CineMania_-__Completo_Com_Adultos_[19-01-2026_0..  | http://dns.blessed7.xyz:80
CineMania_-__Completo_Com_Adultos_[19-01-2026_0..  | http://dns.blessed7.xyz:80
CineMania_-__Completo_Sem_Adultos_[19-01-2026_0..  | http://dns.blessed7.xyz:80
CineMania_-__Completo_Sem_Adultos_[19-01-2026_0..  | http://dns.blessed7.xyz:80
EVOLUTION_-_BOX_-__Teste_Completo_CAdultos_[19-..  | http://c.superodin.nl70.top:80
EVOLUTION_-_BOX_-__Teste_Completo_CAdultos_[19-..  | http://c.superodin.nl70.top:80
EVOLUTION_-_BOX_-__Teste_Completo_SAdultos_[19-..  | http://c.superodin.nl70.top:80
EVOLUTION_-_BOX_-__Teste_Completo_SAdultos_[19-..  | http://c.superodin.nl70.top:80
GLOBAL__IPTV_1_-_TESTE_1HR__COMPLETO_[19-01-202..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_1HR__COMPLETO_[19-01-202..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_1HR__SEM_ADULTOS_[19-01-..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_1HR__SEM_ADULTOS_[19-01-..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_3HRS__COMPLETO_[19-01-20..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_3HRS__COMPLETO_[19-01-20..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_3HRS__SEM_ADULTOS_[19-01..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_3HRS__SEM_ADULTOS_[19-01..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_6HRS__COMPLETO_[19-01-20..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_6HRS__COMPLETO_[19-01-20..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_6HRS__SEM_ADULTOS_[19-01..  | http://wxpago.sbs:80
GLOBAL__IPTV_1_-_TESTE_6HRS__SEM_ADULTOS_[19-01..  | http://wxpago.sbs:80
GLOBAL__IPTV_2_-_TESTE_1HR__COMPLETO_[19-01-202..  | http://protec.sbs:80
GLOBAL__IPTV_2_-_TESTE_1HR__COMPLETO_[19-01-202..  | http://protec.sbs:80
