RELATÓRIO DE SERVIDORES IPTV - 18/01/2026 20:38
Baseado apenas nos arquivos da pasta: Listas-Downloaded
====================================================================================================
NOME DO ARQUIVO                                    | SERVIDOR BASE IDENTIFICADO
LIFE_UHD_-_RedPlay_-_RedPlay_TESTE_-_CADULTOS.m..  | http://wpm.dcnn.site:80
LIFE_UHD_-_RedPlay_-_RedPlay_TESTE_-_sADULTOS.m..  | http://wpm.dcnn.site:80
LIFE_UHD_-_TOPD+_-__TOPD+_PLAY_TESTE_-_CADULTOS..  | http://cloudsalex.space:80
LIFE_UHD_-_TOPD+_-__TOPD+_PLAY_TESTE_-_sADULTOS..  | http://cloudsalex.space:80
LIFE_UHD_-_TURBO_FLIX_-__TURBO_FLIX_TESTE_-_CAD..  | http://cdn.kplaysuper.site:80
LIFE_UHD_-_TURBO_FLIX_-__TURBO_FLIX_TESTE_-_sAD..  | http://cdn.kplaysuper.site:80
Lider_-_1_ONE_-_Completo_Com_Adultos.m3u           | http://fontez.cc:80
Lider_-_1_ONE_-_Completo_Sem_Adultos.m3u           | http://fontez.cc:80
Lider_-__ALPHA_-_Completo_Com_Adultos.m3u          | http://74.91.29.44:80
Lider_-__ALPHA_-_Completo_Sem_Adultos.m3u          | http://74.91.29.44:80
Lider_-__Fire_PLAY_-_TURBO_-_Completo_Com_Adult..  | http://cdn.turbox.tv.br:80
Lider_-__Fire_PLAY_-_TURBO_-_Completo_Sem_Adult..  | http://cdn.turbox.tv.br:80
Lider_-__LITE_-_Completo_Com_Adultos.m3u           | http://207.58.175.8:80
Lider_-__LITE_-_Completo_Sem_Adultos.m3u           | http://207.58.175.8:80
Lider_-__MAX_-_Completo_Com_Adultos.m3u            | http://c.superodin.nl70.top:80
Lider_-__MAX_-_Completo_Sem_Adultos.m3u            | http://c.superodin.nl70.top:80
Lider_-__SHOW_-_Completo_Com_Adultos.m3u           | http://157.173.97.235:80
Lider_-__SHOW_-_Completo_Sem_Adultos.m3u           | http://157.173.97.235:80
NetPlay_-_7_SEVEN_-_Teste_C_Adulto_12_Horas.m3u    | http://38.147.106.155:80
NetPlay_-_7_SEVEN_-_Teste_C_Adultos_12_Horas.m3..  | http://38.147.106.155:80
NetPlay_-_7_SEVEN_-_Teste_S_Adulto_12_Horas.m3u    | http://38.147.106.155:80
NetPlay_-_7_SEVEN_-_Teste_S_Adultos_12_Horas.m3..  | http://38.147.106.155:80
NetPlay_-__ANDRMEDA_-_Teste_C_Adulto_12_Horas.m..  | http://cloudsalex.space:80
NetPlay_-__ANDRMEDA_-_Teste_S_Adulto_12_Horas.m..  | http://cloudsalex.space:80
NetPlay_-__ATENA_-_Teste_C_Adulto_12_Horas.m3u     | http://cdnp.xyz:80
NetPlay_-__ATENA_-_Teste_S_Adulto_12_Horas.m3u     | http://cdnp.xyz:80
NetPlay_-__EXPLOSION_-_Teste_C_Adulto_12_Horas...  | http://proxyreversophplay.space:80
NetPlay_-__EXPLOSION_-_Teste_Completo_2H_C_Adul..  | http://proxyphtop.shop:80
NetPlay_-__EXPLOSION_-_Teste_Completo_2H_S_Adul..  | http://proxyphtop.shop:80
NetPlay_-__EXPLOSION_-_Teste_S_Adulto_12_Horas...  | http://proxyphtop.shop:80
NetPlay_-__FIRE_-_Teste_12H_C_Adultos.m3u          | http://207.58.175.8:80
NetPlay_-__FIRE_-_Teste_12H_S_Adultos.m3u          | http://207.58.175.8:80
NetPlay_-__GALAXY_-_Teste_C_Adulto_12_Horas.m3u    | http://x25.acxll.shop:80
NetPlay_-__GALAXY_-_Teste_C_Adultos_12_Horas.m3..  | http://x25.acxll.shop:80
NetPlay_-__GALAXY_-_Teste_S_Adulto_12_Horas.m3u    | http://x25.acxll.shop:80
NetPlay_-__GALAXY_-_Teste_S_Adultos_12_Horas.m3..  | http://x25.acxll.shop:80
NetPlay_-__HADES_-_Teste_C_Adulto_12_Horas.m3u     | http://wpm.dcnn.site:80
NetPlay_-__HADES_-_Teste_S_Adulto_12_Horas.m3u     | http://wpm.dcnn.site:80
NetPlay_-__LUNAR_-_Teste_C_Adulto_12_Horas.m3u     | http://protec.sbs:80
NetPlay_-__LUNAR_-_Teste_C_Adulto_2_Horas.m3u      | http://protec.sbs:80
NetPlay_-__LUNAR_-_Teste_S_Adulto_12_Horas.m3u     | http://protec.sbs:80
NetPlay_-__LUNAR_-_Teste_S_Adulto_2_Horas.m3u      | http://protec.sbs:80
NetPlay_-__OLYMPUS_-_Teste_C_Adulto_12_Horas.m3..  | http://cdn.andromedaz.site:80
NetPlay_-__OLYMPUS_-_Teste_S_Adulto_12_Horas.m3..  | http://cdn.andromedaz.site:80
NetPlay_-__SKY_-_Teste_C_Adulto_12_Horas.m3u       | http://xui.brfontes.fun:80
NetPlay_-__SKY_-_Teste_S_Adulto_12_Horas.m3u       | http://xui.brfontes.fun:80
NetPlay_-__SOLAR_-_Teste_12_Horas_C_Adultos.m3u    | http://eogdos.shop:80
NetPlay_-__SOLAR_-_Teste_12_Horas_S_Adultos.m3u    | http://eogdos.shop:80
NetPlay_-__SPEED_-_Teste_C_Adulto_12_Horas.m3u     | http://topcdn.fun:80
NetPlay_-__SPEED_-_Teste_S_Adulto_12_Horas.m3u     | http://topcdn.fun:80
NetPlay_-__TIT_-_Teste_C_Adulto_12_Horas.m3u       | http://cdn.andromedaz.site:80
NetPlay_-__TIT_-_Teste_S_Adulto_12_Horas.m3u       | http://cdn.andromedaz.site:80
NetPlay_-__URANO_-_Teste_C_Adulto_12_Horas.m3u     | http://c.superodin.nl70.top:80
NetPlay_-__URANO_-_Teste_S_Adultos_12_Horas.m3u    | http://c.superodin.nl70.top:80
NetPlay_-__VNUS_-_Teste_C_Adulto_12_Horas.m3u      | http://fontez.cc:80
NetPlay_-__VNUS_-_Teste_S_Adulto_12_Horas.m3u      | http://fontez.cc:80
New-Servers_-_AtivaBox_-_COMPLETO_COM_ADULTOS.m..  | http://xui.brfontes.fun:80
New-Servers_-_AtivaBox_-_COMPLETO_SEM_ADULTOS.m..  | http://xui.brfontes.fun:80
P2VIP_-__Teste_Completo_C_Adulto.m3u               | http://cdn.p2vip.top:80
P2VIP_-__Teste_Completo_S_Adultos.m3u              | http://cdn.p2vip.top:80
PRIME_LUX_-_PRIMEBLACK_-__TESTE_COMPLETO_C_ADUL..  | http://fontez.cc:80
PRIME_LUX_-_PRIMEBLACK_-__TESTE_COMPLETO_S_ADUL..  | http://fontez.cc:80
PRIME_LUX_-_PRIMEGOLD_-__TESTE_COMPLETO_C_ADULT..  | http://xui.brfontes.fun:80
PRIME_LUX_-_PRIMEGOLD_-__TESTE_COMPLETO_S_ADULT..  | http://xui.brfontes.fun:80
PRIME_LUX_-_PRIMEHUB_-__TESTE_COMPLETO_C_ADULTO..  | http://wpm.dcnn.site:80
PRIME_LUX_-_PRIMEHUB_-__TESTE_COMPLETO_S_ADULTO..  | http://wpm.dcnn.site:80
PRIME_LUX_-_PRIMEMAX_-__TESTE_COMPLETO_C_ADULTO..  | http://x25.acxll.shop:80
PRIME_LUX_-_PRIMEMAX_-__TESTE_COMPLETO_S_ADULTO..  | http://x25.acxll.shop:80
PRIME_LUX_-_PRIMEONE_-__TESTE_COMPLETO_C_ADULTO..  | http://cloudsalex.space:80
PRIME_LUX_-_PRIMEONE_-__TESTE_COMPLETO_S_ADULTO..  | http://cloudsalex.space:80
PRIME_LUX_-_PRIMEULTRA_-__TESTE_COMPLETO_C_ADUL..  | http://38.147.106.155:80
PRIME_LUX_-_PRIMEULTRA_-__TESTE_COMPLETO_S_ADUL..  | http://38.147.106.155:80
PRIME_LUX_-_PRIME_X__-__TESTE_IPTV_COMPLETO_C_A..  | http://protec.sbs:80
PRIME_LUX_-_PRIME_X__-__TESTE_IPTV_COMPLETO_S_A..  | http://protec.sbs:80
PRIME_LUX_-_PRIME_ZEROUM__-__TESTE_COMPLETO_C_A..  | http://topcdn.fun:80
PRIME_LUX_-_PRIME_ZEROUM__-__TESTE_COMPLETO_S_A..  | http://topcdn.fun:80
PRIME_LUX_-_PRIME_Z_-__TESTE_COMPLETO_C_ADULTOS..  | http://cdn.andromedaz.site:80
PRIME_LUX_-_PRIME_Z_-__TESTE_COMPLETO_S_ADULTOS..  | http://cdn.andromedaz.site:80
Pro_Black_-__Teste_Completo_Com_Adultos.m3u        | http://queroassistir.top:80
Pro_Black_-__Teste_Completo_S_Adulto.m3u           | http://queroassistir.top:80
SUBZERO_-_FNIX_-__TESTE_COMPLETO_C_ADULTOS.m3u     | http://topcdn.fun:80
SUBZERO_-_FNIX_-__TESTE_COMPLETO_S_ADULTOS.m3u     | http://topcdn.fun:80
Servidor_X_-__AtivaBox_Com_Adultos.m3u             | http://xui.brfontes.fun:80
Servidor_X_-__AtivaBox_Sem_Adultos.m3u             | http://xui.brfontes.fun:80
Servidor_X_-__Caracol.m3u                          | http://vidaloka.fun:80
Servidor_X_-__Caracol_Sem_Adultos.m3u              | http://vidaloka.fun:80
Servidor_X_-__NetTurbo.m3u                         | http://fontez.cc:80
Servidor_X_-__OpenBox.m3u                          | http://sourceopbx.sbs:80
Servidor_X_-__OpenBox_Sem_Adultos.m3u              | http://sourceopbx.sbs:80
Servidor_X_-__P2Box.m3u                            | http://wpls.shop:80
Servidor_X_-__P2Box_Sem_Adultos.m3u                | http://wpls.shop:80
Social_Master_-__GOLD_-_Teste_Completo_C_Adulto..  | http://cloudsalex.space:80
Social_Master_-__GOLD_-_Teste_Completo_S_Adulto..  | http://cloudsalex.space:80
Social_Master_-__HD_-_Teste_Completo_C_Adulto.m..  | http://xui.brfontes.fun:80
Social_Master_-__HD_-_Teste_Completo_S_Adulto.m..  | http://xui.brfontes.fun:80
Social_Master_-__NEW_-_Teste_Completo_C_Adulto...  | http://jhysa.top:80
Social_Master_-__NEW_-_Teste_Completo_S_Adulto...  | http://jhysa.top:80
Social_Master_-__PLAY_-_Teste_Completo_C_Adulto..  | http://fontez.cc:80
Social_Master_-__PLAY_-_Teste_Completo_S_Adulto..  | http://fontez.cc:80
Stark_-_Pro.m3u                                    | http://proxyphtop.shop:80
Stark_-_Ultimate.m3u                               | http://c.superodin.nl70.top:80
Thunder_-__Completo_Com_Adultos.m3u                | http://sxhs.cgpsx.site:80
Thunder_-__Completo_Sem_Adultos.m3u                | http://sxhs.cgpsx.site:80
Top_Z_-__Completo_Com_Adultos.m3u                  | http://vidaloka.fun:80
Top_Z_-__Completo_Sem_Adultos.m3u                  | http://vidaloka.fun:80
VelozNet_-__MeuServidor_TV_-_Completo_Com_Adult..  | http://veloz.tvbrlive.com:80
VelozNet_-__MeuServidor_TV_-_Completo_Sem_Adult..  | http://veloz.tvbrlive.com:80
ZEROUM_-_UCAST_PLAY_-__Teste_IPTV_Completo_C_Ad..  | http://cdn.andromedaz.site:80
ZEROUM_-_UCAST_PLAY_-__Teste_IPTV_Completo_S_Ad..  | http://cdn.andromedaz.site:80
ZEROUM_-__Teste_IPTV_Completo_C_Adultos.m3u        | http://topcdn.fun:80
ZEROUM_-__Teste_IPTV_Completo_S_Adultos.m3u        | http://topcdn.fun:80
x_-.m3u                                            | ⚠️ Nenhum link encontrado


====================================================================================================
RESUMO: GRUPOS POR SERVIDOR (Quem é 'clone' de quem)
====================================================================================================

📡 SERVIDOR: http://x25.acxll.shop:80
   Quantidade de listas: 17
   ├─ AMERICAN_-_NEW_-__New_Completo_CAdultos.m3u
   ├─ AMERICAN_-_NEW_-__New_Completo_SAdultos.m3u
   ├─ CineFlix_-__WAVE_-_Teste_IPTV_C_Adultos.m3u
   ├─ CineFlix_-__WAVE_-_Teste_IPTV_S_Adultos.m3u
   ├─ GLOBAL__IPTV_4_-_TESTE_1HR__COMPLETO.m3u
   ├─ GLOBAL__IPTV_4_-_TESTE_1HR__SEM_ADULTOS.m3u
   ├─ GLOBAL__IPTV_4_-_TESTE_3HRS__COMPLETO.m3u
   ├─ GLOBAL__IPTV_4_-_TESTE_3HRS__SEM_ADULTOS.m3u
   ├─ GLOBAL__IPTV_4_-_TESTE_6HRS__COMPLETO.m3u
   ├─ GLOBAL__IPTV_4_-_TESTE_6HRS__SEM_ADULTOS.m3u
   ├─ HAVOK_TV_-_ORION_-__[Teste_04h]_-_Orion.m3u
   ├─ NetPlay_-__GALAXY_-_Teste_C_Adultos_12_Horas.m3u
   ├─ NetPlay_-__GALAXY_-_Teste_C_Adulto_12_Horas.m3u
   ├─ NetPlay_-__GALAXY_-_Teste_S_Adultos_12_Horas.m3u
   ├─ NetPlay_-__GALAXY_-_Teste_S_Adulto_12_Horas.m3u
   ├─ PRIME_LUX_-_PRIMEMAX_-__TESTE_COMPLETO_C_ADULTOS.m3u
   ├─ PRIME_LUX_-_PRIMEMAX_-__TESTE_COMPLETO_S_ADULTOS.m3u

📡 SERVIDOR: http://fontez.cc:80
   Quantidade de listas: 17
   ├─ AMERICAN_-_PLAY_-__American_Play_CAdultos.m3u
   ├─ AMERICAN_-_PLAY_-__American_Play_SAdultos.m3u
   ├─ AtivaBox_-__NetTurbo_-_Teste_Completo.m3u
   ├─ AtivaBox_-__NetTurbo_-_Teste_S_Adultos.m3u
   ├─ CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Adultos.m3u
   ├─ CineFlix_-_1_NET-ONE_-_Teste_IPTV_C_Internacionais_+18.m3u
   ├─ CineFlix_-_1_NET-ONE_-_Teste_IPTV_S_Adultos.m3u
   ├─ HAVOK_TV_-_OMEGA_-__[Teste_04h]_-_Omega.m3u
   ├─ Lider_-_1_ONE_-_Completo_Com_Adultos.m3u
   ├─ Lider_-_1_ONE_-_Completo_Sem_Adultos.m3u
   ├─ NetPlay_-__VNUS_-_Teste_C_Adulto_12_Horas.m3u
   ├─ NetPlay_-__VNUS_-_Teste_S_Adulto_12_Horas.m3u
   ├─ PRIME_LUX_-_PRIMEBLACK_-__TESTE_COMPLETO_C_ADULTOS.m3u
   ├─ PRIME_LUX_-_PRIMEBLACK_-__TESTE_COMPLETO_S_ADULTOS.m3u
   ├─ Servidor_X_-__NetTurbo.m3u
   ├─ Social_Master_-__PLAY_-_Teste_Completo_C_Adulto.m3u
   ├─ Social_Master_-__PLAY_-_Teste_Completo_S_Adulto.m3u

📡 SERVIDOR: http://xui.brfontes.fun:80
   Quantidade de listas: 17
   ├─ AMERICAN_-_SUPER_-__American_Super_CAdultos.m3u
   ├─ AMERICAN_-_SUPER_-__American_Super_SAdultos.m3u
   ├─ AtivaBox_-__AtivaBox_-_Teste_Completo.m3u
   ├─ AtivaBox_-__AtivaBox_-_Teste_S_Adultos.m3u
   ├─ HAVOK_TV_-_KLAUS_-__[Teste_04h]_-_Klaus.m3u
   ├─ LIFE_UHD_-_GreenTv_-_GREEN_PLAY_TESTE_-_CADULTOS.m3u
   ├─ LIFE_UHD_-_GreenTv_-_GREEN_PLAY_TESTE_-_SADULTOS.m3u
   ├─ NetPlay_-__SKY_-_Teste_C_Adulto_12_Horas.m3u
   ├─ NetPlay_-__SKY_-_Teste_S_Adulto_12_Horas.m3u
   ├─ New-Servers_-_AtivaBox_-_COMPLETO_COM_ADULTOS.m3u
   ├─ New-Servers_-_AtivaBox_-_COMPLETO_SEM_ADULTOS.m3u
   ├─ PRIME_LUX_-_PRIMEGOLD_-__TESTE_COMPLETO_C_ADULTOS.m3u
   ├─ PRIME_LUX_-_PRIMEGOLD_-__TESTE_COMPLETO_S_ADULTOS.m3u
   ├─ Servidor_X_-__AtivaBox_Com_Adultos.m3u
   ├─ Servidor_X_-__AtivaBox_Sem_Adultos.m3u
   ├─ Social_Master_-__HD_-_Teste_Completo_C_Adulto.m3u
   ├─ Social_Master_-__HD_-_Teste_Completo_S_Adulto.m3u

📡 SERVIDOR: http://cloudsalex.space:80
   Quantidade de listas: 16
   ├─ AtivaBox_-__Infrax_-_Teste_Completo.m3u
   ├─ AtivaBox_-__Infrax_-_Teste_S_Adultos.m3u
   ├─ CineFlix_-__Cine_Z_-_Teste_IPTV_C_Adultos.m3u
   ├─ CineFlix_-__Cine_Z_-_Teste_IPTV_S_Adultos.m3u
   ├─ HAVOK_TV_-_DIGNUS_-__[Teste_04h]_-_Dignus.m3u
   ├─ HAVOK_TV_-_KYROS_-__[Teste_04h]_-_Kyros.m3u
   ├─ Infrax_-__LUVEM_-_Teste_Completo_Com_Adultos.m3u
   ├─ Infrax_-__LUVEM_-_Teste_Completo_Sem_Adultos.m3u
   ├─ LIFE_UHD_-_TOPD+_-__TOPD+_PLAY_TESTE_-_CADULTOS.m3u
   ├─ LIFE_UHD_-_TOPD+_-__TOPD+_PLAY_TESTE_-_sADULTOS.m3u
   ├─ NetPlay_-__ANDRMEDA_-_Teste_C_Adulto_12_Horas.m3u
   ├─ NetPlay_-__ANDRMEDA_-_Teste_S_Adulto_12_Horas.m3u
   ├─ PRIME_LUX_-_PRIMEONE_-__TESTE_COMPLETO_C_ADULTOS.m3u
