
============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 337311 itens.

============================================================
📁 ARQUIVO: GLOBAL__IPTV_2_-_TESTE_6HRS__SEM_ADULTOS_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (697):
   + [▶️ Series | Disney] 911 S06E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E11  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E12  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E13  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E14  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E15  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E16  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E17  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S06E18  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E09  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S07E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E01  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E02  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E03  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E04  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E05  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E06  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E07  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E08  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E09  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E10  | (1ª vez: 20/01/2026 17:32)
   + [▶️ Series | Disney] 911 S08E11  | (1ª vez: 20/01/2026 17:32)
