
============================================================
📁 ARQUIVO: CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_CADULTO_[19-01-2026_21h06].m3u
📅 DATA: 19/01/2026 21:06
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 315258 itens.

============================================================
📁 ARQUIVO: CYBER_-__IMPRIO__-__4H_TESTE_COMPLETO_CADULTO_[20-01-2026_17h32].m3u
📅 DATA: 20/01/2026 17:32
------------------------------------------------------------
🟢 ENTRARAM (2711):
   + [Series | Amazon Prime Video] A Agência (2020) S01E129  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E13  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E130  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E131  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E132  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E133  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E134  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E135  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E136  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E137  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E138  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E139  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E14  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E140  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E141  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E142  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E143  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E15  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E16  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E17  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E18  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E19  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E20  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E21  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E22  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E23  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E24  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E25  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E26  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E27  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E28  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E29  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E30  | (1ª vez: 20/01/2026 17:32)
   + [Series | Amazon Prime Video] A Agência (2020) S01E31  | (1ª vez: 20/01/2026 17:32)
