
============================================================
📁 ARQUIVO: BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19-01-2026_00h45].m3u
📅 DATA: 19/01/2026 00:45
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 338030 itens.

============================================================
📁 ARQUIVO: BLACKBR_-__-__TESTE_IPTV_COMPLETO_C_ADULTOS_[19-01-2026_18h27].m3u
📅 DATA: 19/01/2026 18:27
------------------------------------------------------------
🟢 ENTRARAM (1089):
   + [▶️ Series | Família] Três Irmãs S01E161  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E162  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E163  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E164  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E165  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E166  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E167  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E168  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E169  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E17  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E170  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E171  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E172  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E173  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E174  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E175  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E176  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E177  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E178  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E179  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E18  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E19  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E20  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E21  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E22  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E23  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E24  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E25  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E26  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E27  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E28  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E29  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E30  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E31  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E32  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E33  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E34  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E35  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E36  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E37  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E38  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E39  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E40  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E41  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E42  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E43  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E44  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E45  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E46  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E47  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E48  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E49  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E50  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E51  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E52  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E53  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E54  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E55  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E56  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E57  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E58  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E59  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E60  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E61  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E62  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E63  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E64  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E65  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E66  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E67  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E68  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E69  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E70  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E71  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E72  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E73  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E74  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E75  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E76  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E77  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E78  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E79  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E80  | (1ª vez: 19/01/2026 18:27)
   + [▶️ Series | Família] Três Irmãs S01E81  | (1ª vez: 19/01/2026 18:27)
