
============================================================
📁 ARQUIVO: BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19-01-2026_00h45].m3u
📅 DATA: 19/01/2026 00:45
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 271873 itens.

============================================================
📁 ARQUIVO: BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19-01-2026_18h27].m3u
📅 DATA: 19/01/2026 18:27
------------------------------------------------------------
🟢 ENTRARAM (1514):
   + [AMAZON PRIME VIDEO] Casey Anthony Where the Truth Lies (2022) S01E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Casey Anthony Where the Truth Lies (2022) S01E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cometerra (2025) S01E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cometerra (2025) S01E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cometerra (2025) S01E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cometerra (2025) S01E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cometerra (2025) S01E05  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cometerra (2025) S01E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Cometerra (2025) S01E07  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] Conan: O Menino do Futuro (1978) S01E05  | (1ª vez: 19/01/2026 18:27)
